City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,faranah,10.04,-10.74,307.47,10,37,2.83,GN,307.47
126,bluff,-46.6,168.33,287.04,95,95,3.58,NZ,287.04
127,blythe,33.61,-114.6,290.37,22,1,1.5,US,290.37
128,leningradskiy,69.38,178.42,245.49,96,42,4.49,RU,245.49
129,roald,62.58,6.13,275.37,74,40,9.3,NO,275.37
130,florianopolis,-27.61,-48.5,299.82,74,75,4.6,BR,299.82
131,qaanaaq,77.48,-69.36,246.45,54,0,2.16,GL,246.45
132,ribeira grande,38.52,-28.7,290.15,77,20,5.7,PT,290.15
133,tangwani,28.28,69.0,289.15,67,13,4.18,PK,289.15
134,topolobampo,25.6,-109.05,294.82,32,5,5.7,MX,294.82
135,batagay,67.63,134.63,244.34,99,100,0.47,RU,244.34
136,new norfolk,-42.78,147.06,287.15,76,90,2.1,AU,287.15
137,kaabong,3.48,34.15,297.56,34,45,3.58,UG,297.56
138,turayf,31.67,38.66,282.15,70,0,2.1,SA,282.15
139,taoudenni,22.68,-3.98,301.21,23,0,3.97,ML,301.21
140,esperance,-33.87,121.9,290.15,93,90,3.1,AU,290.15
141,chekalin,54.1,36.24,271.15,86,90,4.0,RU,271.15
142,haines junction,60.75,-137.51,262.81,95,100,2.35,CA,262.81
143,alta floresta,-9.88,-56.09,305.15,62,40,1.5,BR,305.15
144,zheleznodorozhnyy,55.75,38.0,272.15,92,90,3.0,RU,272.15
145,agucadoura,41.43,-8.78,287.15,100,75,3.1,PT,287.15
146,guerrero negro,27.98,-114.06,290.11,35,0,0.93,MX,290.11
147,port macquarie,-31.43,152.92,295.37,100,75,2.6,AU,295.37
148,kruisfontein,-34.0,24.73,294.88,82,0,4.6,ZA,294.88
149,chuy,-33.7,-53.46,298.85,50,11,6.65,UY,298.85
150,poya,-21.35,165.15,300.04,85,100,3.19,NC,300.04
151,tabou,4.42,-7.35,301.48,73,5,2.85,CI,301.48
152,aksu,41.12,80.26,272.91,55,42,0.61,CN,272.91
